Country_Region,Province_State,Lockdown_date
Sri Lanka,,2020-03-26
Sudan,,2020-03-10
Suriname,,2020-03-10
Sweden,,2020-03-10
Switzerland,,2020-03-10
Syria,,2020-03-10
Taiwan*,,2020-03-10
Tanzania,,2020-03-10
Thailand,,2020-03-24
Timor-Leste,,2020-03-10
Togo,,2020-03-10
Trinidad and Tobago,,2020-03-10
Tunisia,,2020-03-10
Turkey,,2020-03-10
US,Alabama,2020-04-04
US,Alaska,2020-03-28
US,Arizona,2020-03-31
US,Arkansas,2020-03-10
US,California,2020-03-10
US,Colorado,2020-03-10
US,Connecticut,2020-03-10
US,Delaware,2020-03-10
US,District of Columbia,2020-03-10
US,Florida,2020-03-10
US,Georgia,2020-03-10
US,Guam,2020-03-10
US,Hawaii,2020-03-10
US,Idaho,2020-03-10
US,Illinois,2020-03-10
US,Indiana,2020-03-10
US,Iowa,2020-03-10
US,Kansas,2020-03-10
US,Kentucky,2020-03-10
US,Louisiana,2020-03-10
US,Maine,2020-03-10
US,Maryland,2020-03-10
US,Massachusetts,2020-03-10
US,Michigan,2020-03-10
US,Minnesota,2020-03-10
US,Mississippi,2020-03-10
US,Missouri,2020-03-10
US,Montana,2020-03-10
US,Nebraska,2020-03-10
US,Nevada,2020-03-10
US,New Hampshire,2020-03-10
US,New Jersey,2020-03-10
US,New Mexico,2020-03-10
US,New York,2020-03-10
US,North Carolina,2020-03-10
US,North Dakota,2020-03-10
US,Ohio,2020-03-10
US,Oklahoma,2020-03-10
US,Oregon,2020-03-10
US,Pennsylvania,2020-03-10
US,Puerto Rico,2020-03-10
US,Rhode Island,2020-03-10
US,South Carolina,2020-03-10
US,South Dakota,2020-03-10
US,Tennessee,2020-03-10
US,Texas,2020-03-10
US,Utah,2020-03-10
US,Vermont,2020-03-10
US,Virgin Islands,2020-03-10
US,Virginia,2020-03-10
US,Washington,2020-03-10
US,West Virginia,2020-03-10
US,Wisconsin,2020-03-10
US,Wyoming,2020-03-10
Uganda,,2020-03-10
Ukraine,,2020-03-17
United Arab Emirates,,2020-03-23
United Kingdom,,2020-03-23
United Kingdom,Anguilla,2020-03-23
United Kingdom,Bermuda,2020-03-23
United Kingdom,British Virgin Islands,2020-03-23
United Kingdom,Cayman Islands,2020-03-23
United Kingdom,Channel Islands,2020-03-23
United Kingdom,Gibraltar,2020-03-23
United Kingdom,Isle of Man,2020-03-23
United Kingdom,Montserrat,2020-03-23
United Kingdom,Turks and Caicos Islands,2020-03-23
Uruguay,,2020-03-10
Uzbekistan,,2020-03-10
Venezuela,,2020-03-10
Vietnam,,2020-03-10
West Bank and Gaza,,2020-03-10
Zambia,,2020-03-10
Zimbabwe,,2020-03-10
