Country_Region,Province_State,Lockdown_date,Country_State,Stringency_Date
Ethiopia,,2020-03-10,Ethiopia ,
Fiji,,2020-03-10,Fiji ,
Finland,,2020-03-16,Finland ,2020-03-18
France,,2020-03-10,France ,2020-03-16
France,French Guiana,2020-03-16,France French Guiana,2020-03-16
France,French Polynesia,2020-03-16,France French Polynesia,2020-03-16
France,Guadeloupe,2020-03-16,France Guadeloupe,2020-03-16
France,Martinique,2020-03-16,France Martinique,2020-03-16
France,Mayotte,2020-03-16,France Mayotte,2020-03-16
France,New Caledonia,2020-03-16,France New Caledonia,2020-03-16
France,Reunion,2020-03-16,France Reunion,2020-03-16
France,Saint Barthelemy,2020-03-16,France Saint Barthelemy,2020-03-16
France,Saint Pierre and Miquelon,2020-03-16,France Saint Pierre and Miquelon,2020-03-16
France,St Martin,2020-03-16,France St Martin,2020-03-16
Gabon,,2020-03-10,Gabon ,
Gambia,,2020-03-10,Gambia ,2020-03-18
Georgia,,2020-03-10,Georgia ,
Germany,,2020-03-20,Germany ,2020-03-18
Ghana,,2020-03-10,Ghana ,2020-03-17
Greece,,2020-03-10,Greece ,2020-03-16
Grenada,,2020-03-10,Grenada ,
Guatemala,,2020-03-10,Guatemala ,2020-03-15
Guinea,,2020-03-10,Guinea ,
Guinea-Bissau,,2020-03-10,Guinea-Bissau ,
Guyana,,2020-03-10,Guyana ,2020-03-18
Haiti,,2020-03-10,Haiti ,
Holy See,,2020-03-10,Holy See ,
Honduras,,2020-03-10,Honduras ,2020-03-16
Hungary,,2020-03-10,Hungary ,2020-03-11
Iceland,,2020-03-10,Iceland ,2020-03-24
India,,2020-03-24,India ,2020-03-16
Indonesia,,2020-03-10,Indonesia ,2020-03-13
Iran,,2020-03-13,Iran ,2020-02-26
Iraq,,2020-03-22,Iraq ,2020-02-27
Ireland,,2020-03-16,Ireland ,2020-03-20
Israel,,2020-03-19,Israel ,2020-03-13
Italy,,2020-03-10,Italy ,2020-02-23
Jamaica,,2020-03-10,Jamaica ,
Japan,,2020-04-10,Japan ,2020-03-02
Jordan,,2020-03-21,Jordan ,2020-03-18
Kazakhstan,,2020-03-10,Kazakhstan ,2020-03-16
Kenya,,2020-03-10,Kenya ,2020-03-15
"Korea, South",,2020-03-10,"Korea, South ",
Kosovo,,2020-03-10,Kosovo ,2020-03-13
Kuwait,,2020-03-10,Kuwait ,2020-03-11
Kyrgyzstan,,2020-03-10,Kyrgyzstan ,
Laos,,2020-03-10,Laos ,2020-03-29
Latvia,,2020-03-10,Latvia ,
Lebanon,,2020-03-10,Lebanon ,2020-03-12
Liberia,,2020-03-10,Liberia ,
Libya,,2020-03-10,Libya ,
Liechtenstein,,2020-03-10,Liechtenstein ,
Lithuania,,2020-03-16,Lithuania ,
Luxembourg,,2020-03-10,Luxembourg ,2020-03-15
MS Zaandam,,2020-03-10,MS Zaandam ,
Madagascar,,2020-03-10,Madagascar ,2020-03-21
Malaysia,,2020-03-16,Malaysia ,2020-03-18
Maldives,,2020-03-10,Maldives ,
Mali,,2020-03-10,Mali ,2020-03-19
Malta,,2020-03-10,Malta ,
Mauritania,,2020-03-10,Mauritania ,2020-03-27
Mauritius,,2020-03-10,Mauritius ,2020-03-20
Mexico,,2020-03-10,Mexico ,2020-03-24
Moldova,,2020-03-10,Moldova ,
Monaco,,2020-03-10,Monaco ,
Mongolia,,2020-03-10,Mongolia ,2020-01-27
Montenegro,,2020-03-10,Montenegro ,
Morocco,,2020-03-10,Morocco ,2020-03-19
Mozambique,,2020-03-10,Mozambique ,2020-03-24
Namibia,,2020-03-10,Namibia ,2020-03-17
Nepal,,2020-03-10,Nepal ,
Netherlands,,2020-03-10,Netherlands ,2020-03-15
Netherlands,Aruba,2020-03-10,Netherlands Aruba,2020-03-15
Netherlands,"Bonaire, Sint Eustatius and Saba",2020-03-10,"Netherlands Bonaire, Sint Eustatius and Saba",2020-03-15
Netherlands,Curacao,2020-03-10,Netherlands Curacao,2020-03-15
Netherlands,Sint Maarten,2020-03-10,Netherlands Sint Maarten,2020-03-15
New Zealand,,2020-03-10,New Zealand ,2020-03-23
Nicaragua,,2020-03-10,Nicaragua ,
Niger,,2020-03-10,Niger ,2020-03-20
Nigeria,,2020-03-10,Nigeria ,2020-03-20
North Macedonia,,2020-03-10,North Macedonia ,
Norway,,2020-03-12,Norway ,2020-03-12
Oman,,2020-03-10,Oman ,2020-03-17
Pakistan,,2020-03-24,Pakistan ,2020-03-13
Panama,,2020-03-10,Panama ,2020-03-13
Papua New Guinea,,2020-03-10,Papua New Guinea ,2020-03-24
Paraguay,,2020-03-20,Paraguay ,2020-03-13
Peru,,2020-03-15,Peru ,2020-03-12
Philippines,,2020-03-10,Philippines ,2020-03-02
Poland,,2020-03-10,Poland ,2020-03-12
Portugal,,2020-04-02,Portugal ,2020-03-13
Qatar,,2020-03-09,Qatar ,2020-03-10
Romania,,2020-03-10,Romania ,2020-03-11
Russia,,2020-03-29,Russia ,2020-03-16
Rwanda,,2020-03-10,Rwanda ,2020-03-20
Saint Kitts and Nevis,,2020-03-10,Saint Kitts and Nevis ,
Saint Lucia,,2020-03-10,Saint Lucia ,
Saint Vincent and the Grenadines,,2020-03-10,Saint Vincent and the Grenadines ,
San Marino,,2020-03-10,San Marino ,
Saudi Arabia,,2020-03-10,Saudi Arabia ,2020-03-14
Senegal,,2020-03-10,Senegal ,
Serbia,,2020-03-10,Serbia ,2020-03-16
Seychelles,,2020-03-10,Seychelles ,2020-03-22
Sierra Leone,,2020-03-10,Sierra Leone ,2020-03-31
Singapore,,2020-03-10,Singapore ,2020-04-08
Slovakia,,2020-03-10,Slovakia ,
Slovenia,,2020-03-10,Slovenia ,2020-03-12
Somalia,,2020-03-10,Somalia ,
South Africa,,2020-03-10,South Africa ,2020-03-15
Spain,,2020-03-13,Spain ,2020-03-10
Sri Lanka,,2020-03-26,Sri Lanka ,2020-03-14
Sudan,,2020-03-10,Sudan ,
Suriname,,2020-03-10,Suriname ,
Sweden,,9999-12-31,Sweden ,2020-04-04
Switzerland,,2020-03-10,Switzerland ,2020-03-13
Syria,,2020-03-10,Syria ,2020-03-15
Taiwan*,,2020-03-10,Taiwan* ,
Tanzania,,2020-04-10,Tanzania ,2020-03-22
Thailand,,2020-03-24,Thailand ,2020-03-18
Timor-Leste,,2020-03-10,Timor-Leste ,
Togo,,2020-03-10,Togo ,
Trinidad and Tobago,,2020-03-10,Trinidad and Tobago ,2020-03-16
Tunisia,,2020-03-22,Tunisia ,2020-03-16
Turkey,,2020-04-10,Turkey ,2020-03-16
US,Alabama,2020-04-04,US Alabama,2020-03-17
US,Alaska,2020-03-28,US Alaska,2020-03-17
US,Arizona,2020-03-31,US Arizona,2020-03-17
US,Arkansas,9999-12-31,US Arkansas,2020-03-17
US,California,2020-03-19,US California,2020-03-17
US,Colorado,2020-03-26,US Colorado,2020-03-17
US,Connecticut,2020-03-23,US Connecticut,2020-03-17
US,Delaware,2020-03-24,US Delaware,2020-03-17
US,District of Columbia,2020-03-10,US District of Columbia,2020-03-17
US,Florida,2020-04-02,US Florida,2020-03-17
