Country_Region,Province_State,Date,Country_State,StringencyIndex
Kenya,,2020-03-10,Kenya ,19.05
Kosovo,,2020-03-10,Kosovo ,0.0
Kuwait,,2020-03-10,Kuwait ,47.62
Laos,,2020-03-10,Laos ,0.0
Lebanon,,2020-03-10,Lebanon ,42.86
Luxembourg,,2020-03-10,Luxembourg ,19.05
Madagascar,,2020-03-10,Madagascar ,0.0
Malaysia,,2020-03-16,Malaysia ,42.86
Mali,,2020-03-10,Mali ,0.0
Mauritania,,2020-03-10,Mauritania ,9.52
Mauritius,,2020-03-10,Mauritius ,0.0
Mexico,,2020-03-10,Mexico ,4.76
Mongolia,,2020-03-10,Mongolia ,76.19
Morocco,,2020-03-10,Morocco ,0.0
Mozambique,,2020-03-10,Mozambique ,0.0
Namibia,,2020-03-10,Namibia ,4.76
Netherlands,,2020-03-10,Netherlands ,21.43
Netherlands,Aruba,2020-03-10,Netherlands Aruba,21.43
Netherlands,"Bonaire, Sint Eustatius and Saba",2020-03-10,"Netherlands Bonaire, Sint Eustatius and Saba",21.43
Netherlands,Curacao,2020-03-10,Netherlands Curacao,21.43
Netherlands,Sint Maarten,2020-03-10,Netherlands Sint Maarten,21.43
New Zealand,,2020-03-10,New Zealand ,28.57
Nicaragua,,2020-03-10,Nicaragua ,11.9
Niger,,2020-03-10,Niger ,0.0
Nigeria,,2020-03-10,Nigeria ,19.05
Norway,,2020-03-12,Norway ,52.38
Oman,,2020-03-10,Oman ,23.81
Pakistan,,2020-03-24,Pakistan ,100.0
Panama,,2020-03-10,Panama ,19.05
Papua New Guinea,,2020-03-10,Papua New Guinea ,28.57
Paraguay,,2020-03-20,Paraguay ,85.71
Peru,,2020-03-15,Peru ,57.14
Philippines,,2020-03-10,Philippines ,76.19
Poland,,2020-03-10,Poland ,33.33
Portugal,,2020-04-02,Portugal ,80.95
Qatar,,2020-03-09,Qatar ,42.86
Romania,,2020-03-10,Romania ,38.1
Russia,,2020-03-29,Russia ,71.43
Rwanda,,2020-03-10,Rwanda ,0.0
Saudi Arabia,,2020-03-10,Saudi Arabia ,47.62
Serbia,,2020-03-10,Serbia ,19.05
Seychelles,,2020-03-10,Seychelles ,28.57
Sierra Leone,,2020-03-10,Sierra Leone ,0.0
Singapore,,2020-03-10,Singapore ,33.33
Slovenia,,2020-03-10,Slovenia ,42.86
South Africa,,2020-03-10,South Africa ,19.05
Spain,,2020-03-13,Spain ,61.9
Sri Lanka,,2020-03-26,Sri Lanka ,95.24
Sudan,,2020-03-10,Sudan ,
Switzerland,,2020-03-10,Switzerland ,23.81
Syria,,2020-03-10,Syria ,28.57
Tanzania,,2020-04-10,Tanzania ,45.24
Thailand,,2020-03-24,Thailand ,61.9
Trinidad and Tobago,,2020-03-10,Trinidad and Tobago ,23.81
Tunisia,,2020-03-22,Tunisia ,100.0
Turkey,,2020-04-10,Turkey ,
US,Alabama,2020-04-04,US Alabama,76.19
US,Alaska,2020-03-28,US Alaska,76.19
US,Montana,2020-03-28,US Montana,76.19
US,Rhode Island,2020-03-28,US Rhode Island,76.19
US,Arizona,2020-03-31,US Arizona,76.19
US,Tennessee,2020-03-31,US Tennessee,76.19
US,California,2020-03-19,US California,66.67
US,Colorado,2020-03-26,US Colorado,76.19
US,Kentucky,2020-03-26,US Kentucky,76.19
US,Connecticut,2020-03-23,US Connecticut,66.67
US,Louisiana,2020-03-23,US Louisiana,66.67
US,Ohio,2020-03-23,US Ohio,66.67
US,Oregon,2020-03-23,US Oregon,66.67
US,Washington,2020-03-23,US Washington,66.67
US,Delaware,2020-03-24,US Delaware,76.19
US,Indiana,2020-03-24,US Indiana,76.19
US,Massachusetts,2020-03-24,US Massachusetts,76.19
US,Michigan,2020-03-24,US Michigan,76.19
US,New Mexico,2020-03-24,US New Mexico,76.19
US,West Virginia,2020-03-24,US West Virginia,76.19
US,District of Columbia,2020-03-10,US District of Columbia,23.81
US,Guam,2020-03-10,US Guam,23.81
US,Oklahoma,2020-03-10,US Oklahoma,23.81
US,Utah,2020-03-10,US Utah,23.81
US,Virgin Islands,2020-03-10,US Virgin Islands,23.81
US,Wyoming,2020-03-10,US Wyoming,23.81
US,Florida,2020-04-02,US Florida,76.19
US,Maine,2020-04-02,US Maine,76.19
US,Nevada,2020-04-02,US Nevada,76.19
US,Pennsylvania,2020-04-02,US Pennsylvania,76.19
US,Texas,2020-04-02,US Texas,76.19
US,Georgia,2020-03-14,US Georgia,42.86
US,Hawaii,2020-03-25,US Hawaii,76.19
US,Idaho,2020-03-25,US Idaho,76.19
US,Vermont,2020-03-25,US Vermont,76.19
US,Wisconsin,2020-03-25,US Wisconsin,76.19
US,Illinois,2020-03-21,US Illinois,66.67
US,New Jersey,2020-03-21,US New Jersey,66.67
US,Kansas,2020-03-20,US Kansas,66.67
US,Maryland,2020-03-30,US Maryland,76.19
US,North Carolina,2020-03-30,US North Carolina,76.19
US,Virginia,2020-03-30,US Virginia,76.19
US,Minnesota,2020-03-27,US Minnesota,76.19
US,New Hampshire,2020-03-27,US New Hampshire,76.19
US,Mississippi,2020-04-03,US Mississippi,76.19
US,Missouri,2020-04-06,US Missouri,76.19
US,New York,2020-03-22,US New York,66.67
US,Puerto Rico,2020-03-15,US Puerto Rico,42.86
US,South Carolina,2020-04-07,US South Carolina,76.19
Uganda,,2020-03-10,Uganda ,23.81
Ukraine,,2020-03-25,Ukraine ,95.24
United Arab Emirates,,2020-03-31,United Arab Emirates ,95.24
United Kingdom,,2020-03-23,United Kingdom ,66.67
United Kingdom,Anguilla,2020-03-23,United Kingdom Anguilla,66.67
United Kingdom,Bermuda,2020-03-23,United Kingdom Bermuda,66.67
United Kingdom,British Virgin Islands,2020-03-23,United Kingdom British Virgin Islands,66.67
United Kingdom,Cayman Islands,2020-03-23,United Kingdom Cayman Islands,66.67
United Kingdom,Channel Islands,2020-03-23,United Kingdom Channel Islands,66.67
United Kingdom,Falkland Islands (Malvinas),2020-03-23,United Kingdom Falkland Islands (Malvinas),66.67
United Kingdom,Gibraltar,2020-03-23,United Kingdom Gibraltar,66.67
United Kingdom,Isle of Man,2020-03-23,United Kingdom Isle of Man,66.67
United Kingdom,Montserrat,2020-03-23,United Kingdom Montserrat,66.67
United Kingdom,Turks and Caicos Islands,2020-03-23,United Kingdom Turks and Caicos Islands,66.67
Uruguay,,2020-03-30,Uruguay ,64.29
Uzbekistan,,2020-03-23,Uzbekistan ,88.1
Venezuela,,2020-03-12,Venezuela ,14.29
Vietnam,,2020-03-16,Vietnam ,61.9
Zambia,,2020-03-17,Zambia ,23.81
Zimbabwe,,2020-03-23,Zimbabwe ,52.38
Malawi,,2020-03-10,Malawi ,14.29
South Sudan,,2020-03-10,South Sudan ,9.52
